,schoolname,schoolcode,sssdistrict,ssslong,ssslat
3807,"970701 - SOME TECH/VOC. INSTITUTE, AGBOZUME      ",9070701,Keta,0.853055775,5.907464027
3808,,10155,,NA,NA
3809,"ADVENTIST SENIOR HIGH./TECH. SCHOOL, TECHIMAN",60706,Techiman,-1.944841981,7.677614689
3810,,20101,New Juaben,NA,NA
3811,,50504,Sekyere West,NA,NA
3812,"HAVE TECH. INST., HAVE",9071001,Hohoe,0.466238558,7.030594826
3813,"ANGLICAN VOC. TECH. SCHOOL, TESHIE",9010117,Accra Metropolitan,-0.197115257,5.607395649
3814,,61004,Dormaa,NA,NA
3815,,10147,Accra Metro,NA,NA
3816,,21505,Manya Krobo,NA,NA
3817,,20501,West Akim,NA,NA
3818,"SUNYANI BUSINESS SENIOR HIGH SCHOOL, SUNYANI",60108,Sunyani,-2.327423334,7.344677925
3819,"ADANKWAMAN SENIOR HIGH./COMM. SCHOOL, ASSIN DARMAN",31205,Assin North (Assin Fosu),-1.374616981,5.77799511
3820,,21505,Manya Krobo,NA,NA
3821,,40306,,NA,NA
3822,,20103,New Juaben,NA,NA
3823,,50163,Atwima Kwanwoma,NA,NA
3824,,60802,Kintampo South,NA,NA
3825,,9080703,Bole,NA,NA
3826,,20607,Birim South,NA,NA
3827,,70510,,NA,NA
3828,,50307,Amansie East,NA,NA
3829,,10402,Dangme West,NA,NA
3830,,50119,Kumasi Metro,NA,NA
3831,,80106,Tamale Metro,NA,NA
3832,,80202,West Gonja,NA,NA
3833,"MAMPONG PRESBY SENIOR HIGH. SCHOOL, MAMPONG-AKWAPIM",20408,Akwapim North (Akropong),-0.166071147,5.976426125
3834,,40503,Amenfi West,NA,NA
3835,,80401,Nanumba,NA,NA
3836,,20406,Akwapim North,NA,NA
3837,,61002,Dormaa,NA,NA
3838,,90102,Bawku East,NA,NA
3839,,40501,Amenfi West,NA,NA
3840,,81301,Savelugu-Nanton,NA,NA
3841,,41002,Aowin Suaman,NA,NA
3842,ELOHIM SNR. HIGH ,10601,Ga East (Abokobi),-0.241145879,5.721142769
3843,,10118,Ga West,NA,NA
3844,,40501,Amenfi West,NA,NA
3845,,51201,Adansi North,NA,NA
3846,,51606,Ejisu Juaben,NA,NA
3847,,10516,Ga East,NA,NA
3848,,9011001,Ashaiman Municipal,NA,NA
3849,"S.D.A. SENIOR HIGH, KUMASI",50143,Kumasi Metro,-1.597187161,6.682059765
3850,,21406,Manya Krobo,NA,NA
3851,,61101,Sene,NA,NA
3852,NATIONAL TECH. ENGINEERING COL. KANESHIE,9010104,Accra Metropolitan,-0.197115257,5.607395649
3853,,30605,Awutu/Efutu/ Senya,NA,NA
3854,,9050103,KUMASI METRO,NA,NA
3855,,41101,Mophor Wassa East,NA,NA
3856,,21312,,NA,NA
3857,,40402,Jomoro,NA,NA
3858,,9071001,Hohoe,NA,NA
3859,,60709,Techiman Municipal,NA,NA
3860,,70802,North Tongu,NA,NA
3861,,70901,South Tongu,NA,NA
3862,,40901,Wassa West,NA,NA
3863,,21503,Manya Krobo,NA,NA
3864,,21001,Kwahu South,NA,NA
3865,,50402,Amansie West,NA,NA
3866,,51701,Bosomtwe/Atwima/ Kwanwoma,NA,NA
3867,,50403,Amansie West,NA,NA
3868,,21403,Yilo Krobo,NA,NA
3869,"AMANKWAKROM FISHERIES & AGRIC., AMANKWAKROM",9020901,Kwahu North (Donkorkrom),-0.264697343,6.911973476
3870,,31204,Assin North,NA,NA
3871,,60106,Sunyani Municipal,NA,NA
3872,,10116,Accra Metro,NA,NA
3873,,60503,Jaman North,NA,NA
3874,,71203,Kadjebi,NA,NA
3875,,9070701,KETU,NA,NA
3876,,51605,Ejisu Juaben,NA,NA
3877,,51302,Adansi North,NA,NA
3878,,30306,Mfantsiman,NA,NA
3879,,9021101,Kwaebibirem,NA,NA
3880,,10504,Ga West,NA,NA
3881,,10101,Accra Metro,NA,NA
3882,,20902,Kwahu North,NA,NA
3883,,9010117,ACCRA METRO,NA,NA
3884,,9000301,Lawra,NA,NA
3885,,10501,Ga West,NA,NA
3886,"921301 - ST. PAUL TECH. SCHOOL, KUKURANTUMI          ",9021301,East Akim (Kibi),-0.454344213,6.178557873
3887,,10101,Accra Metro,NA,NA
3888,"BODWESANGO SEC. SCHOOL, BODWESANGO  ",51302,Adansi East (New Edubiase),-1.396528602,6.105481625
3889,,60699,,NA,NA
3890,"910201 - TEMA TECH. INSTITUTE, TEMA           ",9010201,Tema,-0.050088216,5.69031477
3891,,51001,Asante Akim North,NA,NA
3892,,10107,Accra Metro,NA,NA
3893,,70607,South Dayi,NA,NA
3894,,80901,Cherponi Saboba,NA,NA
3895,,10503,Ga South,NA,NA
3896,,70122,Ho Municipal,NA,NA
3897,,51001,Asante Akim North,NA,NA
3898,VICTORY HIGH SCHOOL,50142,Kumasi Metro,-1.597187161,6.682059765
3899,,9030101,Cape Coast,NA,NA
3900,BODADA AGRIC. SENIOR HIGH SCHOOL,71203,Kadjebi,0.496497512,7.721589088
3901,,70804,North Tongu,NA,NA
3902,,10121,Accra Metro,NA,NA
3903,,30402,Abura/Asebu/ Kwaman,NA,NA
3904,,70403,Ketu,NA,NA
3905,,9040103,Shama Ahanta East,NA,NA
3906,,9080901,Saboba/ Chereponi,NA,NA
3907,,20410,Akwapim North,NA,NA
3908,,70704,Ketu,NA,NA
3909,,9090401,Bolgatanga,NA,NA
3910,,70201,Krachi West,NA,NA
3911,"650120 - NIGRITIAN COLLEGE, KUMASI             ",50120,Kumasi Metro,-1.597187161,6.682059765
3912,"960502 - OLP AGRIC. VOC. TECH., SAMPA         ",9060502,Techiman,-1.944841981,7.677614689
3913,,10117,Accra Metro,NA,NA
3914,,31002,Upper Denkyira,NA,NA
3915,,21006,Kwahu South,NA,NA
3916,,20401,Akwapim North,NA,NA
3917,,50203,Atwima Nwabiagya,NA,NA
3918,,70708,Ketu North,NA,NA
3919,,10124,Accra Metro,NA,NA
3920,,80101,Tamale Metro,NA,NA
3921,,51501,Ahafo Ano South,NA,NA
3922,,60709,Techiman Municipal,NA,NA
3923,,50805,Offinso,NA,NA
3924,,41001,Aowin Suaman,NA,NA
3925,,50703,Kwabre,NA,NA
3926,,10402,Dangme West,NA,NA
3927,,9020301,AKWAPIM SOUTH,NA,NA
3928,,9010124,LEKMA,NA,NA
3929,,31205,Assin South,NA,NA
3930,"CAMBRIDGE ACADEMY, ACCRA      ",10139,Accra Metropolitan,-0.197115257,5.607395649
3931,,20804,Asuogyaman,NA,NA
3932,VICTORY HIGH SCHOOL,50142,Kumasi Metro,-1.597187161,6.682059765
3933,,70902,South Tongu,NA,NA
3934,"910113 - ROYAL TECHNICAL COLLEGE, NUNGUA-ACCRA       ",9010113,Accra Metropolitan,-0.197115257,5.607395649
3935,,60207,Tano North,NA,NA
3936,,31103,Twifo Heman,NA,NA
3937,,70401,Akatsi,NA,NA
3938,,20109,,NA,NA
3939,,60903,Nkoranza North,NA,NA
3940,,60205,Tano North,NA,NA
3941,,40801,Juaboso,NA,NA
3942,,51202,Obuasi Municipal,NA,NA
3943,KOLEGE HIGH SCHOOL,10149,Accra Metropolitan,-0.197115257,5.607395649
3944,,10509,Ga East,NA,NA
3945,"650117 - PRINCE OF PEACE GIRLS' SCHOOL, SUNTRESU-KUMASI ",50117,Kumasi Metro,-1.597187161,6.682059765
3946,,21309,,NA,NA
3947,,9020102,NEW JUABEN,NA,NA
3948,,60202,Tano South,NA,NA
3949,,20603,Birim South,NA,NA
3950,MADINA SNR. HIGH,10506,Ga East (Abokobi),-0.241145879,5.721142769
3951,,21005,Kwahu South,NA,NA
3952,,21203,Fanteakwa,NA,NA
3953,,40201,Ahanta West,NA,NA
3954,,9081501,Central Gonja,NA,NA
3955,,21002,Kwahu South,NA,NA
3956,,51606,Ejisu Juaben,NA,NA
3957,,41102,Mophor Wassa East,NA,NA
3958,,30702,Ajumako/ Enyan/Esiam,NA,NA
3959,"WITSAND SENIOR HIGH. SCHOOL, TEMA",10215,Tema,-0.050088216,5.69031477
3960,,20802,Asuogyaman,NA,NA
3961,,51801,Sekyere East,NA,NA
3962,,71009,Hohoe,NA,NA
3963,,70802,North Tongu,NA,NA
3964,OYAL ACADEMY OF ART          ,10137,Accra Metropolitan,-0.197115257,5.607395649
3965,,90501,Kasena-Nankani,NA,NA
3966,,40105,Shama Ahanta East,NA,NA
3967,,100304,Jirapa/ Lambussie,NA,NA
3968,,60105,Sunyani Municipal,NA,NA
3969,"650305 - BOSOME SECONDARY/TECHNICAL SCH., ASIWA",50305,Amansie East (Bekwai),-1.37072885,6.383360863
3970,,51604,Ejisu Juaben,NA,NA
3971,,21304,East Akim,NA,NA
3972,,20303,Akwapim South,NA,NA
3973,,9071001,Hohoe,NA,NA
3974,,60904,Nkoranza,NA,NA
3975,,40105,Shama Ahanta East,NA,NA
3976,,9090401,Bolgatanga,NA,NA
3977,,80115,,NA,NA
3978,,60502,Jaman North,NA,NA
3979,,10221,,NA,NA
3980,,90506,Kasena-Nankani,NA,NA
3981,,20602,Birim South,NA,NA
3982,,9030401,Abura/Asebu/ Kwaman,NA,NA
3983,,90504,Kasena-Nankani,NA,NA
3984,"FAITH SENIOR HIGH./COMM. SCHOOL, KUMASI TAFO",50135,Afigya Sekyere (Agona),-1.548614264,7.00199604
3985,,50604,Afigya Sekyere,NA,NA
3986,"HARVARD COLLEGE, KOKOMLEMLE",10124,Accra Metropolitan,-0.197115257,5.607395649
3987,"WITSAND SENIOR HIGH. SCHOOL, TEMA",10215,Tema,-0.050088216,5.69031477
3988,,70803,North Tongu,NA,NA
3989,SAMMO SEC/COMM/TECH,30404,Cape Coast Municipal,-1.306593895,5.153656006
3990,,9010201,Tema,NA,NA
3991,,60501,Jaman South,NA,NA
3992,,21504,Manya Krobo,NA,NA
3993,,80106,Tamale Metro,NA,NA
3994,"CALVARY METH. GIRLS VOC. INST., ACCRA",9010109,Accra Metropolitan,-0.197115257,5.607395649
3995,,10161,,NA,NA
3996,"OPOKU WARE GIRLS, KUMASI",9050106,Kumasi Metro,-1.597187161,6.682059765
3997,,81401,Karaga,NA,NA
3998,,10110,Accra Metro,NA,NA
3999,,60102,Sunyani Municipal,NA,NA
4000,"ANGLICAN VOC. TECH. SCHOOL, TESHIE",9010117,Accra Metropolitan,-0.197115257,5.607395649
4001,,31207,Assin North,NA,NA
4002,,60304,Berekum,NA,NA
4003,,10112,Accra Metro,NA,NA
4004,,30910,,NA,NA
4005,,60104,Sunyani Municipal,NA,NA
4006,,10403,Dangme West,NA,NA
4007,,80202,West Gonja,NA,NA
4008,,30109,Cape Coast,NA,NA
4009,,50105,Asokore Mampong Municipal,NA,NA
4010,,21202,Fanteakwa,NA,NA
4011,,31102,Twifo Heman,NA,NA
4012,,50202,Atwima Nwabiagya,NA,NA
4013,,51703,Bosomtwe,NA,NA
4014,,21601,Atiwa,NA,NA
4015,ASSEMBLIES OF GOD SENIOR HIGH SCHOOL,50138,Kumasi Metro,-1.597187161,6.682059765
4016,"BECHEM BUSINESS COLLEGE, BECHEM",9060202,Atebubu,-1.065201521,7.675590515
4017,,20603,Birim South,NA,NA
4018,,10111,Ga East,NA,NA
4019,,71106,Biakoye,NA,NA
4020,,90201,Bawku West,NA,NA
4021,"ST. CLARES VOV., TUMU               ",9100401,Jirapa/Lambusie (Jirapa),-2.583322525,10.69203472
4022,"970901- COMBONI VOC. TECH. INST., SOGAKOPE     ",9070901,South Tongu (Sogakope),0.645589471,5.960537434
4023,,9071002,Hohoe,NA,NA
4024,950107 - RAMSEYER VOC. INST. KUMASI    ,9050107,Kumasi Metro,-1.597187161,6.682059765
4025,"PHILIP COMMERCIAL COLLEGE, KUMASI",50131,Kumasi Metro,-1.597187161,6.682059765
4026,,10118,Ga West,NA,NA
4027,,9010101,Accra Metro,NA,NA
4028,"ABETIFI TECH. INST., ABETIFI          ",9021002,Kwahu South (Mpraeso),-0.635528684,6.619226456
4029,,50204,Atwima Nwabiagya,NA,NA
4030,"BOYS VOC. TRG. CENTRE, TAMALE         ",9080102,Tamale,-0.784348249,9.383351326
4031,,9070501,Keta,NA,NA
4032,,60801,Kintampo North,NA,NA
4033,,60605,Tain,NA,NA
4034,,31101,Twifo Heman,NA,NA
4035,,50701,Kwabre,NA,NA
4036,,100403,Sisala West,NA,NA
4037,,50305,,NA,NA
4038,,90507,Kasena-Nankani,NA,NA
4039,,50307,Amansie East,NA,NA
4040,,80702,Sawla/Tuna/ Kariba,NA,NA
4041,,51203,Adansi North,NA,NA
4042,,9080103,Tamale Metro,NA,NA
4043,,60104,Sunyani Municipal,NA,NA
4044,,61406,Sunyani Municipal,NA,NA
4045,,80802,East Dagomba,NA,NA
4046,"CITY SENIOR HIGH BUSINESS SCH., KPEHE",10125,Accra Metropolitan,-0.197115257,5.607395649
4047,GALAZY INT. SCHOOL,10147,Accra Metropolitan,-0.197115257,5.607395649
4048,,70301,Nkwanta,NA,NA
4049,"KINGS HIGH COLLEGE, KUMASI",50121,Kumasi Metro,-1.597187161,6.682059765
4050,,21306,East Akim,NA,NA
4051,,50206,Atwima Nwabiagya,NA,NA
4052,,70804,North Tongu,NA,NA
4053,ACTION SEC/TECH SCHOOL,10509,Accra Metropolitan,-0.197115257,5.607395649
4054,,80702,Sawla/Tuna/ Kariba,NA,NA
4055,,51102,Asante Akim South,NA,NA
4056,"900101 - WA TECH. INST., WA               ",9100101,Wa Municipal,-2.285030365,10.03062153
4057,,60707,Techiman Municipal,NA,NA
4058,,9050102,Kumasi Metro,NA,NA
4059,,9080103,Tamale Metro,NA,NA
4060,,71104,Jasikan,NA,NA
4061,,20703,Birim North,NA,NA
4062,,9051801,Sekyere East,NA,NA
4063,,50704,Kwabre,NA,NA
4064,"950104 - CATHOLIC TECH. INSTITUTE, KUMASI     ",9050104,Kumasi Metro,-1.597187161,6.682059765
4065,,70202,Krachi West,NA,NA
4066,,20502,West Akim,NA,NA
4067,,80111,,NA,NA
4068,,50603,Afigya Sekyere,NA,NA
4069,,30110,Cape Coast,NA,NA
4070,,31408,Assin North Municipal,NA,NA
4071,,10148,Accra Metro,NA,NA
4072,,9090401,Bolgatanga,NA,NA
4073,,70708,Ketu North,NA,NA
4074,,50606,Afigya Sekyere,NA,NA
4075,,21102,Kwaebibirem,NA,NA
4076,,10164,Amasaman,NA,NA
4077,,61003,Dormaa,NA,NA
4078,,30404,Abura/Asebu/ Kwaman,NA,NA
4079,,10166,,NA,NA
4080,,9050102,Kumasi Metro,NA,NA
4081,,71105,Jasikan,NA,NA
4082,"BOLGATANGA SENIOR HIGH SCH, BOLGATANGA",90403,Bolgatanga,-0.880232632,10.74245644
4083,VICTORY HIGH SCHOOL,50142,Kumasi Metro,-1.597187161,6.682059765
4084,,10120,Accra Metro,NA,NA
4085,,60206,Tano North,NA,NA
4086,,90303,Builsa,NA,NA
4087,,20503,West Akim,NA,NA
4088,RAMSEYER VOC. INST. KUMASI,9050107,Kumasi Metro,-1.597187161,6.682059765
4089,,60902,Nkoranza,NA,NA
4090,,50805,,NA,NA
4091,,50301,Amansie East,NA,NA
4092,,40106,Shama Ahanta East,NA,NA
4093,"AGOTIME SENIOR HIGH. SCHOOL, KPETOE",70113,Ho Municipal,0.52614224,6.717607021
4094,"MANCELLS VOC. TRG. CENTRE, KUMASI",9050103,Kumasi Metro,-1.597187161,6.682059765
4095,,20203,Suhum/Kraboa Coaltar,NA,NA
4096,,10301,Dangme East,NA,NA
4097,,9030101,Cape Coast,NA,NA
4098,ACTION SEC/TECH SCHOOL,10509,Accra Metropolitan,-0.197115257,5.607395649
4099,,60704,Techiman Municipal,NA,NA
4100,,61101,Sene,NA,NA
4101,,70703,Ketu,NA,NA
4102,ELOHIM INDUSTRIAL SKILLS TRAINING CENTRE,9010501,Ga East (Abokobi),-0.241145879,5.721142769
4103,,50305,Bosome Freho,NA,NA
4104,,60801,Kintampo North,NA,NA
4105,,9070901,South Tongu,NA,NA
4106,ARS TECH. INST. KOTOBABI      ,9010118,Accra Metropolitan,-0.197115257,5.607395649
4107,"670114 - ABUTIA SEC/TECH. SCHOOL, ABUTIA-TETI      ",70114,Ho Municipal,0.52614224,6.717607021
4108,,9070601,Kpando,NA,NA
4109,,50116,Kumasi Metro,NA,NA
4110,,50206,Atwima Mponua,NA,NA
4111,,51608,Bosomtwe,NA,NA
4112,,21504,Manya Krobo,NA,NA
4113,,9051801,Sekyere East,NA,NA
4114,,9010301,Dangme East,NA,NA
4115,,50702,Kwabre,NA,NA
4116,,9000201,Nadowli,NA,NA
4117,,50704,Kwabre,NA,NA
4118,,20110,,NA,NA
4119,,30114,,NA,NA
4120,,9070601,Kpando,NA,NA
4121,,9070101,Ho West,NA,NA
4122,,61002,Dormaa,NA,NA
4123,"TOP ACCOUNTANCY SCH. & SENIOR HIGHRETARYSHIP, ACCRA",10143,Accra Metropolitan,-0.197115257,5.607395649
4124,,21007,Kwahu South,NA,NA
4125,,9010301,Dangme East,NA,NA
4126,,31201,Assin South,NA,NA
4127,,50154,Kumasi Metro,NA,NA
4128,"ADABIE COMM. INSTITUTE, BANTAMA",50125,Kumasi Metro,-1.597187161,6.682059765
4129,,21012,Kwahu West Municipal,NA,NA
4130,,51102,Asante Akim South,NA,NA
4131,,60402,Atebubu,NA,NA
4132,,61202,Asutifi,NA,NA
4133,,51606,Ejisu Juaben,NA,NA
4134,,10102,Accra Metro,NA,NA
4135,,10403,Dangme West,NA,NA
4136,,50508,Sekyere Central,NA,NA
4137,,70805,North Tongu,NA,NA
4138,UNIVERSITY TUTORIAL SENIOR HIGH,50137,Kumasi Metro,-1.597187161,6.682059765
4139,CORPUS CHRISTI SENIOR HIGH,10218,Accra Metropolitan,-0.197115257,5.607395649
4140,,20408,Akwapim North,NA,NA
4141,,21203,Fanteakwa,NA,NA
4142,,40302,Nzema East,NA,NA
4143,,80303,East Gonja,NA,NA
4144,,40906,Wassa West,NA,NA
4145,GALAZY INT. SCHOOL,10147,Accra Metropolitan,-0.197115257,5.607395649
4146,"SOMANYA TECH. INST., SOMANYA",9021401,Fanteakwa (Begoro),-0.356094092,6.436070919
4147,,9021002,Kwahu South,NA,NA
4148,,9050103,KUMASI METRO,NA,NA
4149,,61303,Asunafo South,NA,NA
4150,TEMA SENIOR HIGH/COMMERCIAL SCHOOL    ,10208,Tema,-0.050088216,5.69031477
4151,,10156,,NA,NA
4152,"NAMONG SENIOR HIGH SCHOOL, NAMONG",50803,Offinso,-1.890868545,7.34876442
4153,"BECHEM BUSINESS COLLEGE, BECHEM",9060202,Atebubu,-1.065201521,7.675590515
4154,,90101,Bawku East,NA,NA
4155,ST. CLARES VOC. TUMU,9100401,Jirapa/Lambusie (Jirapa),-2.583322525,10.69203472
4156,,30108,Cape Coast,NA,NA
4157,,80702,Sawla/Tuna/ Kariba,NA,NA
4158,,70803,North Tongu,NA,NA
4159,,70801,North Tongu,NA,NA
4160,"ABUTIA COMM. SENIOR HIGH SCHOOL, ABUTIA-HO",70117,Ho Municipal,0.52614224,6.717607021
4161,,40402,Jomoro,NA,NA
4162,,9060103,Sunyani Municipal,NA,NA
4163,,50607,Sekyere Central,NA,NA
4164,,9071003,Hohoe,NA,NA
4165,,50304,Amansie East,NA,NA
4166,,9021301,East Akim,NA,NA
4167,,80203,West Gonja,NA,NA
4168,,60505,Jaman South,NA,NA
4169,,70901,South Tongu,NA,NA
4170,,50707,Kwabre,NA,NA
4171,"BUNKPURUGU SENIOR HIGH/TECHNICAL SCHOOL, BUNKPURUGU",80502,East Mamprusi (Gambaga),-0.414157361,10.47127342
4172,,50604,Afigya Sekyere,NA,NA
4173,,30802,Asikuma/Odoben/ Brakwa,NA,NA
4174,,9100401,SISALA EAST,NA,NA
4175,,30203,Edina/Komm/ Eguafo,NA,NA
4176,,50202,Atwima Nwabiagya,NA,NA
4177,,40111,Shama Ahanta East,NA,NA
4178,,70705,Ketu North,NA,NA
4179,,10171,,NA,NA
4180,,10170,,NA,NA
4181,,71103,Jasikan,NA,NA
4182,,61302,Asunafo North,NA,NA
4183,"SIDDIQ SENIOR SENIOR HIGH. SCHOOL, AGONA NYAKROM",30906,Assin North (Assin Fosu),-1.374616981,5.77799511
4184,,81401,Karaga,NA,NA
4185,,90507,Kasena-Nankani,NA,NA
4186,,40106,Shama Ahanta East,NA,NA
4187,,9071001,Hohoe,NA,NA
4188,"ST. JOSEPH'S TECH. INST., SABOBA",9080901,Saboba/Chereponi (Saboba),0.166294068,9.916285515
4189,"MARGARET BUECHNER VOC. CENTRE, DUNYAW NKWANTA",9060201,Atebubu,-1.065201521,7.675590515
4190,,9080603,West Mamprusi,NA,NA
4191,,70901,South Tongu,NA,NA
4192,,51602,Bosomtwe/Atwima/ Kwanwoma,NA,NA
4193,,71002,Hohoe,NA,NA
4194,,9030301,MFANTSIMAN,NA,NA
4195,,50706,Kwabre,NA,NA
4196,"SACRED HEART TECH. INSTITUTE, ACCRA",9010102,Accra Metropolitan,-0.197115257,5.607395649
4197,"940102 - METHODIST VOC. TRG. CENTRE, SEKONDI    ",9040102,Shama/Ahanta/East (Sekondi/Takoradi),-1.623654723,5.081101418
4198,,60604,Tain,NA,NA
4199,,50606,Afigya Sekyere,NA,NA
4200,,51601,Ejisu Juaben,NA,NA
4201,"MPOHOR SNR SENIOR HIGH. SCHOOL, MPOHOR",41102,Mpohor-Wassa East (Daboase),-1.69756937,5.330795765
4202,,21601,Atiwa,NA,NA
4203,ELOHIM SNR. HIGH,10601,Ga East (Abokobi),-0.241145879,5.721142769
4204,,9010106,ACCRA METRO,NA,NA
4205,"ROYAL TECHNICAL COLLEGE, NUNGUA-ACCRA",9010113,Accra Metropolitan,-0.197115257,5.607395649
4206,,70122,Ho Municipal,NA,NA
4207,,30602,Awutu/Efutu/ Senya,NA,NA
4208,,9021001,Kwahu South,NA,NA
4209,,9021101,Kwaebibirem,NA,NA
4210,"VAKPO SENIOR HIGH./TECH. SCHOOL, VAKPO",70606,Kpando,0.267385125,6.89685154
4211,,50309,Bekwai,NA,NA
4212,,50169,,NA,NA
4213,,40111,Shama Ahanta East,NA,NA
4214,,10404,Dangme West,NA,NA
4215,,80501,East Mamprusi,NA,NA
4216,,60904,Nkoranza,NA,NA
4217,"NDEWURA JAKPA SENIOR HIGH/TECHNICAL SCHOOL, DAMONGO",80202,West Gonja (Damongo),-1.700405836,9.505651474
4218,,90510,Kasena-Nankani,NA,NA
4219,,21202,Fanteakwa,NA,NA
4220,,9010201,Tema,NA,NA
4221,"KOFORIDUA TECH. INST., KOFORIDUA",9020101,New Juaben (Koforidua),-0.297512323,6.112612724
4222,,20701,Birim North,NA,NA
4223,"SOMANYA TECH. INST., SOMANYA",9021401,Fanteakwa (Begoro),-0.356094092,6.436070919
4224,,20410,Akwapim North,NA,NA
4225,"HAVE TECH. INST., HAVE",9071001,Hohoe,0.466238558,7.030594826
4226,"AVE-DAKPA SENIOR HIGH SCHOOL, AVE-DAKPA",70402,Akatsi,0.842700481,6.206889153
4227,"980103 - DABOKPA TECH. INSTITUTE, TAMALE        ",9080103,Tamale,-0.784348249,9.383351326
4228,"E.P.C. MAWUKO GIRLS SENIOR HIGH. SCHOOL, HO",70106,Ho Municipal,0.52614224,6.717607021
4229,,50401,Amansie West,NA,NA
4230,,10147,Accra Metro,NA,NA
4231,,21001,Kwahu South,NA,NA
4232,,20201,Suhum/Kraboa Coaltar,NA,NA
4233,PRINCE BOATENG MEMORIAL VOC.,9020301,Manya Krobo (Odumase-Krobo),-0.127511591,6.414916515
4234,,70901,South Tongu,NA,NA
4235,,71003,Hohoe,NA,NA
4236,,60201,Tano South,NA,NA
4237,CAMBRIDGE SENIOR HIGH,50133,Kumasi Metro,-1.597187161,6.682059765
4238,ALBERT ACADEMY SCHOOL         ,10505,Ga West (Amasaman),-0.397510529,5.664687634
4239,,9060104,Sunyani Municipal,NA,NA
4240,,20805,Asuogyaman,NA,NA
4241,,40304,Nzema East,NA,NA
4242,,10117,Accra Metro,NA,NA
4243,,50204,Atwima Nwabiagya,NA,NA
4244,,9070501,Keta,NA,NA
4245,,20602,Birim South,NA,NA
4246,DEKS SENIOR HIGH SCHOOL,10217,Tema,-0.050088216,5.69031477
4247,,70801,North Tongu,NA,NA
4248,"950102 - CITY EDUCATION COMPLEX, KUMASI        ",9050102,Kumasi Metro,-1.597187161,6.682059765
4249,,80902,Cherponi Saboba,NA,NA
4250,"PHILIP COMMERCIAL COLLEGE, KUMASI",50131,Kumasi Metro,-1.597187161,6.682059765
4251,"GHANA NATIONAL ACADEMY, KUMASI",50129,Kumasi Metro,-1.597187161,6.682059765
4252,,70704,Ketu,NA,NA
4253,,21101,Kwaebibirem,NA,NA
4254,"921401 - SOMANYA TECH. INST., SOMANYA           ",9021401,Fanteakwa (Begoro),-0.356094092,6.436070919
4255,,81201,Tolon Kumbungu,NA,NA
4256,,20204,Suhum/Kraboa Coaltar,NA,NA
4257,,60601,Wenchi Municipal,NA,NA
4258,,21008,Kwahu South,NA,NA
4259,,31002,Upper Denkyira,NA,NA
4260,,10509,Ga East,NA,NA
4261,"PRINCE OF PEACE GIRLS' SCHOOL, SUNTRESU-KUMASI",50117,Kumasi Metro,-1.597187161,6.682059765
4262,,100301,Jirapa/ Lambussie,NA,NA
4263,,20302,Akwapim South,NA,NA
4264,"TEMA SPECIAL CATERING VTC, TEMA     ",9010203,Tema,-0.050088216,5.69031477
4265,,21401,Yilo Krobo,NA,NA
4266,,50702,Kwabre,NA,NA
4267,,30108,Cape Coast,NA,NA
4268,,9010102,Accra Metro,NA,NA
4269,"970601 - KPANDO TECH. INST., KPANDO           ",9070601,Kpando,0.267385125,6.89685154
4270,"S.D.A. SENIOR HIGH, TWIFO HEMAN",30907,Assin North (Assin Fosu),-1.374616981,5.77799511
4271,"910201 - TEMA TECH. INSTITUTE, TEMA           ",9010201,Tema,-0.050088216,5.69031477
4272,,50704,Kwabre,NA,NA
4273,"ST. JOSEPH'S TECH. INST., SABOBA",9080901,Saboba/Chereponi (Saboba),0.166294068,9.916285515
4274,,80801,East Dagomba,NA,NA
4275,,10109,Accra Metro,NA,NA
4276,ASSEMBLIES OF GOD SENIOR HIGH SCHOOL,50138,Kumasi Metro,-1.597187161,6.682059765
4277,,60206,Tano North,NA,NA
4278,,51501,Ahafo Ano South,NA,NA
4279,,60507,Jaman North,NA,NA
4280,"640604 - AKONTOMBRA SNR. SEC. SCHOOL, AKONTOMBRA        ",40604,Sefwi Wiawso,-2.637861013,6.25838995
4281,"SALEM SENIOR HIGH SCHOOL, KUKU HILL         ",10123,Accra Metropolitan,-0.197115257,5.607395649
4282,,9070601,Kpando,NA,NA
4283,,31209,,NA,NA
4284,,9040101,Shama Ahanta East,NA,NA
4285,,40605,,NA,NA
4286,,70603,South Dayi,NA,NA
4287,"910107 - ACCRA GIRLS VOC. INSTITUTE, ACHIMOTA    ",9010107,Accra Metropolitan,-0.197115257,5.607395649
4288,,81201,Tolon Kumbungu,NA,NA
4289,,30603,Awutu/Efutu/ Senya,NA,NA
4290,,60501,Jaman South,NA,NA
4291,,50302,Amansie East,NA,NA
4292,,31201,Assin South,NA,NA
4293,,30404,Abura/Asebu/ Kwaman,NA,NA
4294,,10125,Accra Metro,NA,NA
4295,,10301,Dangme East,NA,NA
4296,,51802,Sekyere East,NA,NA
4297,,10114,Accra Metro,NA,NA
4298,PRINCE BOATENG MEMORIAL SENIOR HIGH,20306,Akwapim South (Nsawam),-0.268249363,5.826002598
4299,,10511,Ga East,NA,NA
4300,,31206,Assin South,NA,NA
4301,"DABOKPA TECH. INSTITUTE, TAMALE",9080103,Tamale,-0.784348249,9.383351326
4302,,10108,Accra Metro,NA,NA
4303,,90507,Kasena-Nankani,NA,NA
4304,,51207,,NA,NA
4305,,51501,Ahafo Ano South,NA,NA
